"Method","Intercept","Slope","Angle (degrees)","P-perm (1-tailed)","2.5%-Intercept","97.5%-Intercept","2.5%-Slope","97.5%-Slope"
"OLS",-2.73942353719417,2.79116276566058,70.2887373292384,0.000999000999000999,-2.94100997177475,-2.53783710261358,2.64578887792208,2.93653665339909
"RMA",-3.35007560502017,3.23267376278537,72.8109940321939,0.000999000999000999,-3.58930429631936,-3.1230831310803,3.06855465341134,3.40563984871444
"OLS",-0.00346444410248413,0.884246953139264,41.4846238093241,0.000999000999000999,-0.111321020498639,0.104392132293671,0.806466273791983,0.962027632486546
"RMA",-0.544851380772575,1.27567817696286,51.9072172704432,0.000999000999000999,-0.708100323731824,-0.396673398025361,1.16854317757185,1.39370971633373
"OLS",-0.0257331301182571,0.339231229558479,18.7385409157817,0.000999000999000999,-0.0627543799966777,0.0112881197601635,0.312533386348135,0.365929072768823
"RMA",-0.178249936948633,0.449503266631404,24.204072955852,0.000999000999000999,-0.229182673755352,-0.131102915603992,0.415415232704911,0.486328432054795
"OLS",-1.14572727832556,1.92183377252296,62.5104001893963,0.000999000999000999,-1.30601918992785,-0.985435366723281,1.78677047313612,2.05689707190979
"RMA",-1.88311115174034,2.54701496211107,68.564210963291,0.000999000999000999,-2.10361575938326,-1.68036817291502,2.375122002077,2.73396688482869
"OLS",0.257392114524303,0.815739243423152,39.2054754766093,0.000999000999000999,0.208182679615328,0.306601549433278,0.774274963826444,0.857203523019859
"RMA",0.07678451277022,0.968865016014818,44.0940188972691,0.000999000999000999,0.0167794374186143,0.133104082558234,0.921115211731594,1.01973952757135
"OLS",0.0973598262978226,0.293433250193953,16.3534426575145,0.000999000999000999,0.0787406491038164,0.115979003491829,0.277744576457688,0.309121923930219
"RMA",0.0314252476664793,0.34933501288486,19.2560962393458,0.000999000999000999,0.00868639404268379,0.0528029825570889,0.331210182370573,0.368613849961349
"OLS",-2.29362584896162,2.49719163323563,68.1763748544541,0.000999000999000999,-2.48316552879741,-2.10408616912582,2.36042584864355,2.6339574178277
"RMA",-2.69923200134284,2.79056117762185,70.284815517115,0.000999000999000999,-2.91596262751736,-2.49294104972996,2.64135367144776,2.94731956178856
"OLS",0.0237406239537241,0.877434591911382,41.264834138969,0.000999000999000999,-0.0919475215608003,0.139428769468249,0.7939577178183,0.960911466004464
"RMA",-0.476044216622308,1.238922330966,51.0911583517566,0.000999000999000999,-0.648678976909248,-0.321405855913242,1.12707445795047,1.36378676084033
"OLS",0.0178439578171543,0.312058491461118,17.3309757494901,0.000999000999000999,-0.0215813130123048,0.0572692286466134,0.283610474125555,0.340506508796682
"RMA",-0.133316841264013,0.421391090326184,22.8501241956705,0.000999000999000999,-0.189187894134022,-0.0826045345484701,0.384711552235919,0.461801881012237
"OLS",-0.862106115484216,1.69114026366788,59.4034530990533,0.000999000999000999,-1.07420914244664,-0.650003088521796,1.51443920739982,1.86784131993594
"RMA",-1.69944126491449,2.39179447946694,67.310384300193,0.000999000999000999,-2.0148686964976,-1.41511637944741,2.15388086770152,2.65573366781674
"OLS",0.170053528375282,0.892669872702459,41.7543288468037,0.000999000999000999,0.11096552585907,0.229141530891494,0.843444208142592,0.941895537262327
"RMA",-0.00213970358498816,1.03675544463518,46.0338518035578,0.000999000999000999,-0.0728666354760252,0.0639853731607787,0.98142417874543,1.09593738992161
"OLS",0.092393796089942,0.298638066126164,16.6276274601396,0.000999000999000999,0.0689994968342572,0.115788095345627,0.279148493307087,0.31812763894524
"RMA",0.018108102962423,0.360797864504108,19.8393354904875,0.000999000999000999,-0.0111437650585523,0.0452439954843429,0.338091451775716,0.385274855184411
"OLS",-3.6627409758091,3.40195993517675,73.6193956902598,0.000999000999000999,-4.21257258893426,-3.11290936268394,3.01101040267437,3.79290946767913
"RMA",-4.1233114640627,3.73028753727816,74.9932294263212,0.000999000999000999,-4.76135790749461,-3.55289729359339,3.32365549816294,4.18513270027521
"OLS",-0.203523092500811,1.01735110727419,45.4927851675724,0.000999000999000999,-0.45065705438742,0.0436108693857982,0.841630205531427,1.19307200901695
"RMA",-0.505707516381979,1.23276978870449,50.9516762290281,0.000999000999000999,-0.83383458915296,-0.229712176597221,1.03602056048907,1.4666822466997
"OLS",-0.120176102384021,0.404903192734934,22.0431822441438,0.000999000999000999,-0.188353559204313,-0.0519986455637296,0.356426633303224,0.453379752166643
"RMA",-0.176904301365551,0.445343112395791,24.0054713353488,0.000999000999000999,-0.256259739401059,-0.105937153636913,0.39475265113964,0.501913347242361
"OLS",-1.28343479643786,2.0398929976916,63.8848995519879,0.000999000999000999,-1.63198766532031,-0.934881927555423,1.74549923459856,2.33428676078465
"RMA",-1.67040800629913,2.36978084360801,67.1212303697711,0.000999000999000999,-2.10601868059917,-1.2968082397777,2.05129362260165,2.74113127134061
"OLS",0.412510182881956,0.691434573758101,34.6613221296499,0.000999000999000999,0.307689446868916,0.517330918894996,0.602901172716237,0.779967974799965
"RMA",0.305545091416685,0.782620430330396,38.0474594952738,0.000999000999000999,0.178973587907711,0.415692730056079,0.688721508344154,0.890520407855832
"OLS",0.139296081098347,0.263005138844308,14.7353771175751,0.000999000999000999,0.109048965937497,0.169543196259198,0.237457903833843,0.288552373854773
"RMA",0.116804676601521,0.28217866505237,15.7579341151578,0.000999000999000999,0.0829432203786505,0.147481837993601,0.256026925261154,0.311044960104061
"OLS",-3.69958128247563,3.37248952522297,73.4840219295133,0.000999000999000999,-4.28329944934661,-3.11586311560465,2.94629223587005,3.7986868145759
"RMA",-4.27915640276303,3.79721858947549,75.2461086500449,0.000999000999000999,-4.98762592677311,-3.66822276230001,3.34950911342764,4.31640512363005
"OLS",0.151818136793305,0.701692110483824,35.0570361298896,0.000999000999000999,-0.134061806649974,0.437698080236583,0.492959088469069,0.91042513249858
"RMA",-0.230451955982966,0.981830462033621,44.4747236481452,0.000999000999000999,-0.687433464032688,0.129692754831937,0.717906217072839,1.31671945485032
"OLS",-0.0809925566470556,0.354732094756449,19.5312292935581,0.000999000999000999,-0.187175949681885,0.0251908363877741,0.277203114412509,0.432261075100388
"RMA",-0.211579684648499,0.450430040955334,24.2482322752137,0.000999000999000999,-0.361763100430916,-0.0887474574276364,0.360415105701214,0.560488701892819
"OLS",-1.56816961312124,2.26382209454364,66.1674746529138,0.000999000999000999,-1.9700648143525,-1.16627441188999,1.89971817711907,2.62792601196821
"RMA",-2.11563144995632,2.76546249061858,70.1198489981672,0.000999000999000999,-2.65945178591782,-1.67494791399464,2.36166326910294,3.26376617202663
"OLS",0.464763819768963,0.590617674048255,30.5668496010283,0.000999000999000999,0.330751685558063,0.598775953979863,0.469207060288428,0.712028287808083
"RMA",0.300702238021129,0.74094763553826,36.5365089150125,0.000999000999000999,0.115197572576499,0.452735916184724,0.601638866599009,0.910925938291493
"OLS",0.118522613072816,0.260728027287355,14.613280913312,0.000999000999000999,0.0613502687980958,0.175694957347536,0.208931751902634,0.312524302672075
"RMA",0.0437188504770573,0.329270867302222,18.2252081972108,0.000999000999000999,-0.0364566766021135,0.108632363608506,0.269790483014384,0.402735866053593
